Column1;country;country_code;indicator;indicator_user;year;value
92;Austria;AUT;gdp_growth;GDP Growth (%);1990;"4.35							"
93;Austria;AUT;gdp_growth;GDP Growth (%);1991;"3.44							"
94;Austria;AUT;gdp_growth;GDP Growth (%);1992;"2.09							"
95;Austria;AUT;gdp_growth;GDP Growth (%);1993;"0.53							"
96;Austria;AUT;gdp_growth;GDP Growth (%);1994;"2.4							"
97;Austria;AUT;gdp_growth;GDP Growth (%);1995;"2.67							"
98;Austria;AUT;gdp_growth;GDP Growth (%);1996;"2.35							"
99;Austria;AUT;gdp_growth;GDP Growth (%);1997;"2.09							"
100;Austria;AUT;gdp_growth;GDP Growth (%);1998;"3.58							"
101;Austria;AUT;gdp_growth;GDP Growth (%);1999;"3.56							"
102;Austria;AUT;gdp_growth;GDP Growth (%);2000;"3.38							"
103;Austria;AUT;gdp_growth;GDP Growth (%);2001;"1.27							"
104;Austria;AUT;gdp_growth;GDP Growth (%);2002;"1.65							"
105;Austria;AUT;gdp_growth;GDP Growth (%);2003;"0.94							"
106;Austria;AUT;gdp_growth;GDP Growth (%);2004;"2.74							"
107;Austria;AUT;gdp_growth;GDP Growth (%);2005;"2.24							"
108;Austria;AUT;gdp_growth;GDP Growth (%);2006;"3.45							"
109;Austria;AUT;gdp_growth;GDP Growth (%);2007;"3.73							"
110;Austria;AUT;gdp_growth;GDP Growth (%);2008;"1.46							"
111;Austria;AUT;gdp_growth;GDP Growth (%);2009;"-3.76							"
112;Austria;AUT;gdp_growth;GDP Growth (%);2010;"1.84							"
113;Austria;AUT;gdp_growth;GDP Growth (%);2011;"2.92							"
114;Austria;AUT;gdp_growth;GDP Growth (%);2012;"0.68							"
115;Austria;AUT;gdp_growth;GDP Growth (%);2013;"0.03							"
116;Austria;AUT;gdp_growth;GDP Growth (%);2014;"0.66							"
117;Austria;AUT;gdp_growth;GDP Growth (%);2015;"1.01							"
118;Austria;AUT;gdp_growth;GDP Growth (%);2016;"1.99							"
119;Austria;AUT;gdp_growth;GDP Growth (%);2017;"2.26							"
120;Austria;AUT;gdp_growth;GDP Growth (%);2018;"2.43							"
121;Austria;AUT;gdp_growth;GDP Growth (%);2019;"1.52							"
122;Austria;AUT;gdp_growth;GDP Growth (%);2020;"-6.45							"
123;Austria;AUT;gdp_growth;GDP Growth (%);2021;"4.56							"
124;Belarus;BLR;gdp_growth;GDP Growth (%);1960;
125;Belarus;BLR;gdp_growth;GDP Growth (%);1961;
126;Belarus;BLR;gdp_growth;GDP Growth (%);1962;
127;Belarus;BLR;gdp_growth;GDP Growth (%);1963;
128;Belarus;BLR;gdp_growth;GDP Growth (%);1964;
129;Belarus;BLR;gdp_growth;GDP Growth (%);1965;
130;Belarus;BLR;gdp_growth;GDP Growth (%);1966;
131;Belarus;BLR;gdp_growth;GDP Growth (%);1967;
132;Belarus;BLR;gdp_growth;GDP Growth (%);1968;
133;Belarus;BLR;gdp_growth;GDP Growth (%);1969;
134;Belarus;BLR;gdp_growth;GDP Growth (%);1970;
135;Belarus;BLR;gdp_growth;GDP Growth (%);1971;
136;Belarus;BLR;gdp_growth;GDP Growth (%);1972;
137;Belarus;BLR;gdp_growth;GDP Growth (%);1973;
138;Belarus;BLR;gdp_growth;GDP Growth (%);1974;
139;Belarus;BLR;gdp_growth;GDP Growth (%);1975;
140;Belarus;BLR;gdp_growth;GDP Growth (%);1976;
141;Belarus;BLR;gdp_growth;GDP Growth (%);1977;
142;Belarus;BLR;gdp_growth;GDP Growth (%);1978;
143;Belarus;BLR;gdp_growth;GDP Growth (%);1979;
144;Belarus;BLR;gdp_growth;GDP Growth (%);1980;
145;Belarus;BLR;gdp_growth;GDP Growth (%);1981;
146;Belarus;BLR;gdp_growth;GDP Growth (%);1982;
147;Belarus;BLR;gdp_growth;GDP Growth (%);1983;
148;Belarus;BLR;gdp_growth;GDP Growth (%);1984;
149;Belarus;BLR;gdp_growth;GDP Growth (%);1985;
